Unnamed: 0,ds,y,population,temp,rain,hum,week_weekend,year,month,day,hour,st,holiday
33,2021-01-02 09:00:00,348.0,76279,-3.3,0.0,81.0,1,2021,1,2,9,-9.2,0
34,2021-01-02 10:00:00,442.0,76279,-1.1,0.0,49.0,1,2021,1,2,10,-9.2,0
35,2021-01-02 11:00:00,538.0,76279,-0.2,0.0,38.0,1,2021,1,2,11,-9.2,0
36,2021-01-02 12:00:00,514.0,76279,-0.2,0.0,36.0,1,2021,1,2,12,-9.2,0
37,2021-01-02 13:00:00,254.0,76279,1.2,0.0,31.0,1,2021,1,2,13,-9.2,0
38,2021-01-02 14:00:00,360.0,76279,1.5,0.0,25.0,1,2021,1,2,14,-9.2,0
39,2021-01-02 15:00:00,480.0,76279,1.7,0.0,24.0,1,2021,1,2,15,-9.2,0
40,2021-01-02 16:00:00,294.0,76279,0.6,0.0,26.0,1,2021,1,2,16,-9.2,0
41,2021-01-02 17:00:00,294.0,76279,-0.6,0.0,29.0,1,2021,1,2,17,-9.2,0
42,2021-01-02 18:00:00,582.0,76279,-0.7,0.0,33.0,1,2021,1,2,18,-9.2,0
43,2021-01-02 19:00:00,306.0,76279,-1.7,0.0,37.0,1,2021,1,2,19,-9.2,0
44,2021-01-02 20:00:00,234.0,76279,-1.6,0.0,37.0,1,2021,1,2,20,-9.2,0
45,2021-01-02 21:00:00,418.0,76279,-2.7,0.0,40.0,1,2021,1,2,21,-9.2,0
46,2021-01-02 22:00:00,440.0,76279,-3.0,0.0,41.0,1,2021,1,2,22,-9.2,0
47,2021-01-02 23:00:00,408.0,76279,-5.2,0.0,51.0,1,2021,1,2,23,-9.2,0
48,2021-01-03 00:00:00,284.0,76279,-4.8,0.0,53.0,1,2021,1,3,0,-8.7,0
49,2021-01-03 01:00:00,352.0,76279,-4.3,0.0,53.0,1,2021,1,3,1,-8.7,0
50,2021-01-03 02:00:00,488.0,76279,-3.1,0.0,49.0,1,2021,1,3,2,-8.7,0
51,2021-01-03 03:00:00,304.0,76279,-2.8,0.0,49.0,1,2021,1,3,3,-8.7,0
52,2021-01-03 04:00:00,202.0,76279,-3.0,0.0,48.0,1,2021,1,3,4,-8.7,0
53,2021-01-03 05:00:00,538.0,76279,-3.5,0.0,49.0,1,2021,1,3,5,-8.7,0
54,2021-01-03 06:00:00,376.0,76279,-3.8,0.0,48.0,1,2021,1,3,6,-8.7,0
55,2021-01-03 07:00:00,188.0,76279,-4.0,0.0,44.0,1,2021,1,3,7,-8.7,0
56,2021-01-03 08:00:00,420.0,76279,-4.5,0.0,41.0,1,2021,1,3,8,-8.7,0
57,2021-01-03 09:00:00,492.0,76279,-3.8,0.0,42.0,1,2021,1,3,9,-8.7,0
58,2021-01-03 10:00:00,320.0,76279,-1.6,0.0,30.0,1,2021,1,3,10,-8.7,0
59,2021-01-03 11:00:00,596.0,76279,-0.4,0.0,32.0,1,2021,1,3,11,-8.7,0
60,2021-01-03 12:00:00,354.0,76279,0.8,0.0,29.0,1,2021,1,3,12,-8.7,0
61,2021-01-03 13:00:00,258.0,76279,1.3,0.0,30.0,1,2021,1,3,13,-8.7,0
62,2021-01-03 14:00:00,352.0,76279,2.0,0.0,31.0,1,2021,1,3,14,-8.7,0
63,2021-01-03 15:00:00,424.0,76279,2.3,0.0,33.0,1,2021,1,3,15,-8.7,0
64,2021-01-03 16:00:00,292.0,76279,1.2,0.0,33.0,1,2021,1,3,16,-8.7,0
65,2021-01-03 17:00:00,358.0,76279,0.2,0.0,38.0,1,2021,1,3,17,-8.7,0
66,2021-01-03 18:00:00,330.0,76279,-0.2,0.0,42.0,1,2021,1,3,18,-8.7,0
67,2021-01-03 19:00:00,404.0,76279,-0.7,0.0,45.0,1,2021,1,3,19,-8.7,0
68,2021-01-03 20:00:00,348.0,76279,-1.2,0.0,49.0,1,2021,1,3,20,-8.7,0
69,2021-01-03 21:00:00,220.0,76279,-1.4,0.0,51.0,1,2021,1,3,21,-8.7,0
70,2021-01-03 22:00:00,458.0,76279,-3.3,0.0,60.0,1,2021,1,3,22,-8.7,0
71,2021-01-03 23:00:00,358.0,76279,-3.2,0.0,60.0,1,2021,1,3,23,-8.7,0
72,2021-01-04 00:00:00,208.0,76279,-3.1,0.0,60.0,0,2021,1,4,0,-8.1,0
73,2021-01-04 01:00:00,468.0,76279,-3.2,0.0,60.0,0,2021,1,4,1,-8.1,0
74,2021-01-04 02:00:00,404.0,76279,-3.6,0.0,62.0,0,2021,1,4,2,-8.1,0
75,2021-01-04 03:00:00,264.0,76279,-4.3,0.0,66.0,0,2021,1,4,3,-8.1,0
76,2021-01-04 04:00:00,548.0,76279,-6.1,0.0,73.0,0,2021,1,4,4,-8.1,0
77,2021-01-04 05:00:00,392.0,76279,-6.6,0.0,77.0,0,2021,1,4,5,-8.1,0
78,2021-01-04 06:00:00,204.0,76279,-6.8,0.0,79.0,0,2021,1,4,6,-8.1,0
79,2021-01-04 07:00:00,252.0,76279,-6.8,0.0,79.0,0,2021,1,4,7,-8.1,0
80,2021-01-04 08:00:00,564.0,76279,-6.7,0.0,79.0,0,2021,1,4,8,-8.1,0
81,2021-01-04 09:00:00,368.0,76279,-5.1,0.0,74.0,0,2021,1,4,9,-8.1,0
82,2021-01-04 10:00:00,470.0,76279,-2.3,0.0,58.0,0,2021,1,4,10,-8.1,0
83,2021-01-04 11:00:00,582.0,76279,-0.6,0.0,50.0,0,2021,1,4,11,-8.1,0
84,2021-01-04 12:00:00,338.0,76279,0.9,0.0,38.0,0,2021,1,4,12,-8.1,0
85,2021-01-04 13:00:00,410.0,76279,2.6,0.0,25.0,0,2021,1,4,13,-8.1,0
86,2021-01-04 14:00:00,576.0,76279,3.6,0.0,30.0,0,2021,1,4,14,-8.1,0
87,2021-01-04 15:00:00,314.0,76279,3.3,0.0,32.0,0,2021,1,4,15,-8.1,0
88,2021-01-04 16:00:00,346.0,76279,3.6,0.0,33.0,0,2021,1,4,16,-8.1,0
89,2021-01-04 17:00:00,602.0,76279,2.1,0.0,37.0,0,2021,1,4,17,-8.1,0
90,2021-01-04 18:00:00,390.0,76279,-0.3,0.0,48.0,0,2021,1,4,18,-8.1,0
91,2021-01-04 19:00:00,212.0,76279,-1.6,0.0,55.0,0,2021,1,4,19,-8.1,0
92,2021-01-04 20:00:00,488.0,76279,-1.9,0.0,59.0,0,2021,1,4,20,-8.1,0
93,2021-01-04 21:00:00,528.0,76279,-2.0,0.0,60.0,0,2021,1,4,21,-8.1,0
94,2021-01-04 22:00:00,300.0,76279,-2.1,0.0,63.0,0,2021,1,4,22,-8.1,0
95,2021-01-04 23:00:00,460.0,76279,-2.7,0.0,67.0,0,2021,1,4,23,-8.1,0
96,2021-01-05 00:00:00,468.0,76279,-1.9,0.0,63.0,0,2021,1,5,0,-9.6,0
97,2021-01-05 01:00:00,304.0,76279,-1.7,0.0,62.0,0,2021,1,5,1,-9.6,0
98,2021-01-05 02:00:00,540.0,76279,-2.0,0.0,65.0,0,2021,1,5,2,-9.6,0
99,2021-01-05 03:00:00,396.0,76279,-1.7,0.0,64.0,0,2021,1,5,3,-9.6,0
100,2021-01-05 04:00:00,250.0,76279,-1.6,0.0,64.0,0,2021,1,5,4,-9.6,0
101,2021-01-05 05:00:00,342.0,76279,-2.2,0.0,67.0,0,2021,1,5,5,-9.6,0
102,2021-01-05 06:00:00,608.0,76279,-1.4,0.0,66.0,0,2021,1,5,6,-9.6,0
103,2021-01-05 07:00:00,212.0,76279,-1.0,0.0,66.0,0,2021,1,5,7,-9.6,0
104,2021-01-05 08:00:00,652.0,76279,0.6,0.0,60.0,0,2021,1,5,8,-9.6,0
105,2021-01-05 09:00:00,460.0,76279,0.9,0.0,55.0,0,2021,1,5,9,-9.6,0
106,2021-01-05 10:00:00,420.0,76279,0.6,0.0,54.0,0,2021,1,5,10,-9.6,0
107,2021-01-05 11:00:00,640.0,76279,0.7,0.0,51.0,0,2021,1,5,11,-9.6,0
108,2021-01-05 12:00:00,544.0,76279,2.6,0.0,45.0,0,2021,1,5,12,-9.6,0
109,2021-01-05 13:00:00,352.0,76279,1.2,0.0,37.0,0,2021,1,5,13,-9.6,0
110,2021-01-05 14:00:00,564.0,76279,1.6,0.0,27.0,0,2021,1,5,14,-9.6,0
111,2021-01-05 15:00:00,494.0,76279,1.3,0.0,20.0,0,2021,1,5,15,-9.6,0
112,2021-01-05 16:00:00,244.0,76279,0.2,0.0,23.0,0,2021,1,5,16,-9.6,0
113,2021-01-05 17:00:00,538.0,76279,-1.3,0.0,23.0,0,2021,1,5,17,-9.6,0
114,2021-01-05 18:00:00,564.0,76279,-2.1,0.0,27.0,0,2021,1,5,18,-9.6,0
115,2021-01-05 19:00:00,360.0,76279,-2.9,0.0,29.0,0,2021,1,5,19,-9.6,0
116,2021-01-05 20:00:00,370.0,76279,-3.5,0.0,34.0,0,2021,1,5,20,-9.6,0
117,2021-01-05 21:00:00,438.0,76279,-4.3,0.0,38.0,0,2021,1,5,21,-9.6,0
118,2021-01-05 22:00:00,576.0,76279,-5.2,0.0,44.0,0,2021,1,5,22,-9.6,0
119,2021-01-05 23:00:00,314.0,76279,-5.6,0.0,47.0,0,2021,1,5,23,-9.6,0
120,2021-01-06 00:00:00,480.0,76279,-5.6,0.0,46.0,0,2021,1,6,0,-11.4,0
121,2021-01-06 01:00:00,464.0,76279,-5.8,0.0,51.0,0,2021,1,6,1,-11.4,0
122,2021-01-06 02:00:00,314.0,76279,-5.8,0.0,52.0,0,2021,1,6,2,-11.4,0
123,2021-01-06 03:00:00,582.0,76279,-6.1,0.0,54.0,0,2021,1,6,3,-11.4,0
124,2021-01-06 04:00:00,334.0,76279,-6.6,0.0,55.0,0,2021,1,6,4,-11.4,0
125,2021-01-06 05:00:00,362.0,76279,-7.3,0.0,59.0,0,2021,1,6,5,-11.4,0
126,2021-01-06 06:00:00,560.0,76279,-7.2,0.0,59.0,0,2021,1,6,6,-11.4,0
127,2021-01-06 07:00:00,422.0,76279,-8.8,0.0,66.0,0,2021,1,6,7,-11.4,0
128,2021-01-06 08:00:00,306.0,76279,-8.7,0.0,69.0,0,2021,1,6,8,-11.4,0
129,2021-01-06 09:00:00,666.0,76279,-7.6,0.0,66.0,0,2021,1,6,9,-11.4,0
130,2021-01-06 10:00:00,516.0,76279,-4.0,0.0,49.0,0,2021,1,6,10,-11.4,0
131,2021-01-06 11:00:00,408.0,76279,-2.9,0.0,43.0,0,2021,1,6,11,-11.4,0
132,2021-01-06 12:00:00,612.0,76279,-1.2,0.0,37.0,0,2021,1,6,12,-11.4,0
133,2021-01-06 13:00:00,418.0,76279,-0.1,0.0,35.0,0,2021,1,6,13,-11.4,0
134,2021-01-06 14:00:00,286.0,76279,0.2,0.0,32.0,0,2021,1,6,14,-11.4,0
135,2021-01-06 15:00:00,488.0,76279,0.1,0.0,32.0,0,2021,1,6,15,-11.4,0
136,2021-01-06 16:00:00,572.0,76279,-0.4,0.0,31.0,0,2021,1,6,16,-11.4,0
137,2021-01-06 17:00:00,412.0,76279,-1.7,0.0,36.0,0,2021,1,6,17,-11.4,0
138,2021-01-06 18:00:00,512.0,76279,-2.7,0.0,42.0,0,2021,1,6,18,-11.4,0
139,2021-01-06 19:00:00,500.0,76279,-4.2,0.0,49.0,0,2021,1,6,19,-11.4,0
140,2021-01-06 20:00:00,272.0,76279,-5.1,0.0,54.0,0,2021,1,6,20,-11.4,0
141,2021-01-06 21:00:00,436.0,76279,-5.0,0.0,57.0,0,2021,1,6,21,-11.4,0
142,2021-01-06 22:00:00,520.0,76279,-5.6,0.0,57.0,0,2021,1,6,22,-11.4,0
143,2021-01-06 23:00:00,522.0,76279,-4.7,0.0,57.0,0,2021,1,6,23,-11.4,0
144,2021-01-07 00:00:00,286.0,76279,-3.3,0.0,54.0,0,2021,1,7,0,-17.5,0
145,2021-01-07 01:00:00,248.0,76279,-4.4,0.0,82.0,0,2021,1,7,1,-17.5,0
146,2021-01-07 02:00:00,600.0,76279,-2.4,0.0,68.0,0,2021,1,7,2,-17.5,0
147,2021-01-07 03:00:00,408.0,76279,-6.2,0.7,71.0,0,2021,1,7,3,-17.5,0
148,2021-01-07 04:00:00,358.0,76279,-6.3,0.0,59.0,0,2021,1,7,4,-17.5,0
149,2021-01-07 05:00:00,486.0,76279,-8.4,0.0,63.0,0,2021,1,7,5,-17.5,0
150,2021-01-07 06:00:00,574.0,76279,-9.3,0.0,61.0,0,2021,1,7,6,-17.5,0
151,2021-01-07 07:00:00,222.0,76279,-10.0,0.0,52.0,0,2021,1,7,7,-17.5,0
152,2021-01-07 08:00:00,424.0,76279,-10.7,0.0,53.0,0,2021,1,7,8,-17.5,0
153,2021-01-07 09:00:00,472.0,76279,-9.6,0.0,46.0,0,2021,1,7,9,-17.5,0
154,2021-01-07 10:00:00,562.0,76279,-8.5,0.0,39.0,0,2021,1,7,10,-17.5,0
155,2021-01-07 11:00:00,600.0,76279,-8.5,0.0,38.0,0,2021,1,7,11,-17.5,0
156,2021-01-07 12:00:00,514.0,76279,-7.2,0.0,35.0,0,2021,1,7,12,-17.5,0
157,2021-01-07 13:00:00,264.0,76279,-7.6,0.0,33.0,0,2021,1,7,13,-17.5,0
158,2021-01-07 14:00:00,560.0,76279,-8.1,0.0,29.0,0,2021,1,7,14,-17.5,0
159,2021-01-07 15:00:00,504.0,76279,-8.1,0.0,27.0,0,2021,1,7,15,-17.5,0
160,2021-01-07 16:00:00,348.0,76279,-8.2,0.0,29.0,0,2021,1,7,16,-17.5,0
161,2021-01-07 17:00:00,420.0,76279,-9.8,0.0,31.0,0,2021,1,7,17,-17.5,0
162,2021-01-07 18:00:00,692.0,76279,-10.4,0.0,29.0,0,2021,1,7,18,-17.5,0
163,2021-01-07 19:00:00,264.0,76279,-10.8,0.0,29.0,0,2021,1,7,19,-17.5,0
164,2021-01-07 20:00:00,372.0,76279,-11.5,0.0,29.0,0,2021,1,7,20,-17.5,0
165,2021-01-07 21:00:00,548.0,76279,-11.6,0.0,30.0,0,2021,1,7,21,-17.5,0
166,2021-01-07 22:00:00,450.0,76279,-12.0,0.0,32.0,0,2021,1,7,22,-17.5,0
167,2021-01-07 23:00:00,330.0,76279,-12.1,0.0,33.0,0,2021,1,7,23,-17.5,0
168,2021-01-08 00:00:00,576.0,76279,-12.3,0.0,35.0,0,2021,1,8,0,-19.5,0
169,2021-01-08 01:00:00,604.0,76279,-12.6,0.0,38.0,0,2021,1,8,1,-19.5,0
170,2021-01-08 02:00:00,360.0,76279,-12.7,0.0,39.0,0,2021,1,8,2,-19.5,0
171,2021-01-08 03:00:00,352.0,76279,-12.6,0.0,42.0,0,2021,1,8,3,-19.5,0
172,2021-01-08 04:00:00,712.0,76279,-12.8,0.0,44.0,0,2021,1,8,4,-19.5,0
173,2021-01-08 05:00:00,260.0,76279,-13.0,0.0,47.0,0,2021,1,8,5,-19.5,0
174,2021-01-08 06:00:00,464.0,76279,-13.4,0.0,48.0,0,2021,1,8,6,-19.5,0
175,2021-01-08 07:00:00,430.0,76279,-13.7,0.0,49.0,0,2021,1,8,7,-19.5,0
176,2021-01-08 08:00:00,452.0,76279,-13.4,0.0,46.0,0,2021,1,8,8,-19.5,0
177,2021-01-08 09:00:00,558.0,76279,-12.6,0.0,42.0,0,2021,1,8,9,-19.5,0
178,2021-01-08 10:00:00,536.0,76279,-10.9,0.0,37.0,0,2021,1,8,10,-19.5,0
179,2021-01-08 11:00:00,408.0,76279,-9.8,0.0,33.0,0,2021,1,8,11,-19.5,0
180,2021-01-08 12:00:00,496.0,76279,-8.5,0.0,32.0,0,2021,1,8,12,-19.5,0
181,2021-01-08 13:00:00,400.0,76279,-7.8,0.0,31.0,0,2021,1,8,13,-19.5,0
182,2021-01-08 14:00:00,428.0,76279,-6.2,0.0,32.0,0,2021,1,8,14,-19.5,0
183,2021-01-08 15:00:00,600.0,76279,-5.7,0.0,31.0,0,2021,1,8,15,-19.5,0
184,2021-01-08 16:00:00,388.0,76279,-6.4,0.0,32.0,0,2021,1,8,16,-19.5,0
185,2021-01-08 17:00:00,318.0,76279,-7.9,0.0,36.0,0,2021,1,8,17,-19.5,0
186,2021-01-08 18:00:00,494.0,76279,-8.6,0.0,37.0,0,2021,1,8,18,-19.5,0
187,2021-01-08 19:00:00,482.0,76279,-9.3,0.0,39.0,0,2021,1,8,19,-19.5,0
188,2021-01-08 20:00:00,348.0,76279,-9.5,0.0,41.0,0,2021,1,8,20,-19.5,0
189,2021-01-08 21:00:00,230.0,76279,-9.8,0.0,43.0,0,2021,1,8,21,-19.5,0
190,2021-01-08 22:00:00,502.0,76279,-10.0,0.0,44.0,0,2021,1,8,22,-19.5,0
191,2021-01-08 23:00:00,526.0,76279,-10.3,0.0,46.0,0,2021,1,8,23,-19.5,0
192,2021-01-09 00:00:00,304.0,76279,-10.4,0.0,49.0,1,2021,1,9,0,-17.3,0
193,2021-01-09 01:00:00,596.0,76279,-10.5,0.0,52.0,1,2021,1,9,1,-17.3,0
194,2021-01-09 02:00:00,236.0,76279,-10.6,0.0,52.0,1,2021,1,9,2,-17.3,0
195,2021-01-09 03:00:00,380.0,76279,-10.8,0.0,51.0,1,2021,1,9,3,-17.3,0
196,2021-01-09 04:00:00,612.0,76279,-10.8,0.0,49.0,1,2021,1,9,4,-17.3,0
197,2021-01-09 05:00:00,416.0,76279,-11.1,0.0,48.0,1,2021,1,9,5,-17.3,0
198,2021-01-09 06:00:00,252.0,76279,-11.1,0.0,46.0,1,2021,1,9,6,-17.3,0
199,2021-01-09 07:00:00,466.0,76279,-11.4,0.0,45.0,1,2021,1,9,7,-17.3,0
200,2021-01-09 08:00:00,402.0,76279,-11.0,0.0,41.0,1,2021,1,9,8,-17.3,0
201,2021-01-09 09:00:00,250.0,76279,-9.9,0.0,34.0,1,2021,1,9,9,-17.3,0
202,2021-01-09 10:00:00,590.0,76279,-8.5,0.0,28.0,1,2021,1,9,10,-17.3,0
203,2021-01-09 11:00:00,540.0,76279,-6.9,0.0,26.0,1,2021,1,9,11,-17.3,0
204,2021-01-09 12:00:00,376.0,76279,-5.5,0.0,26.0,1,2021,1,9,12,-17.3,0
205,2021-01-09 13:00:00,494.0,76279,-4.3,0.0,26.0,1,2021,1,9,13,-17.3,0
206,2021-01-09 14:00:00,482.0,76279,-3.5,0.0,28.0,1,2021,1,9,14,-17.3,0
207,2021-01-09 15:00:00,264.0,76279,-4.3,0.0,35.0,1,2021,1,9,15,-17.3,0
208,2021-01-09 16:00:00,306.0,76279,-5.4,0.0,43.0,1,2021,1,9,16,-17.3,0
209,2021-01-09 17:00:00,594.0,76279,-6.2,0.0,40.0,1,2021,1,9,17,-17.3,0
210,2021-01-09 18:00:00,480.0,76279,-6.8,0.0,44.0,1,2021,1,9,18,-17.3,0
211,2021-01-09 19:00:00,460.0,76279,-7.1,0.0,44.0,1,2021,1,9,19,-17.3,0
212,2021-01-09 20:00:00,546.0,76279,-7.4,0.0,46.0,1,2021,1,9,20,-17.3,0
213,2021-01-09 21:00:00,270.0,76279,-7.7,0.0,48.0,1,2021,1,9,21,-17.3,0
214,2021-01-09 22:00:00,328.0,76279,-7.9,0.0,52.0,1,2021,1,9,22,-17.3,0
215,2021-01-09 23:00:00,366.0,76279,-7.8,0.0,54.0,1,2021,1,9,23,-17.3,0
216,2021-01-10 00:00:00,426.0,76279,-8.2,0.0,58.0,1,2021,1,10,0,-14.2,0
217,2021-01-10 01:00:00,300.0,76279,-9.2,0.0,64.0,1,2021,1,10,1,-14.2,0
218,2021-01-10 02:00:00,376.0,76279,-9.2,0.0,64.0,1,2021,1,10,2,-14.2,0
219,2021-01-10 03:00:00,460.0,76279,-8.4,0.0,59.0,1,2021,1,10,3,-14.2,0
220,2021-01-10 04:00:00,232.0,76279,-9.1,0.0,59.0,1,2021,1,10,4,-14.2,0
221,2021-01-10 05:00:00,342.0,76279,-10.3,0.0,63.0,1,2021,1,10,5,-14.2,0
222,2021-01-10 06:00:00,554.0,76279,-10.1,0.0,62.0,1,2021,1,10,6,-14.2,0
223,2021-01-10 07:00:00,364.0,76279,-10.4,0.0,61.0,1,2021,1,10,7,-14.2,0
224,2021-01-10 08:00:00,156.0,76279,-11.4,0.0,66.0,1,2021,1,10,8,-14.2,0
225,2021-01-10 09:00:00,534.0,76279,-9.2,0.0,61.0,1,2021,1,10,9,-14.2,0
226,2021-01-10 10:00:00,404.0,76279,-4.7,0.0,36.0,1,2021,1,10,10,-14.2,0
227,2021-01-10 11:00:00,544.0,76279,-2.3,0.0,30.0,1,2021,1,10,11,-14.2,0
228,2021-01-10 12:00:00,784.0,76279,-0.9,0.0,25.0,1,2021,1,10,12,-14.2,0
229,2021-01-10 13:00:00,264.0,76279,-0.8,0.0,25.0,1,2021,1,10,13,-14.2,0
230,2021-01-10 14:00:00,250.0,76279,-0.9,0.0,26.0,1,2021,1,10,14,-14.2,0
231,2021-01-10 15:00:00,514.0,76279,-0.5,0.0,26.0,1,2021,1,10,15,-14.2,0
232,2021-01-10 16:00:00,554.0,76279,0.0,0.0,30.0,1,2021,1,10,16,-14.2,0
233,2021-01-10 17:00:00,284.0,76279,-1.3,0.0,40.0,1,2021,1,10,17,-14.2,0
234,2021-01-10 18:00:00,540.0,76279,-2.1,0.0,45.0,1,2021,1,10,18,-14.2,0
235,2021-01-10 19:00:00,312.0,76279,-4.2,0.0,53.0,1,2021,1,10,19,-14.2,0
236,2021-01-10 20:00:00,534.0,76279,-5.1,0.0,56.0,1,2021,1,10,20,-14.2,0
237,2021-01-10 21:00:00,352.0,76279,-6.1,0.0,63.0,1,2021,1,10,21,-14.2,0
238,2021-01-10 22:00:00,414.0,76279,-6.9,0.0,65.0,1,2021,1,10,22,-14.2,0
239,2021-01-10 23:00:00,460.0,76279,-7.7,0.0,68.0,1,2021,1,10,23,-14.2,0
240,2021-01-11 00:00:00,216.0,76279,-7.9,0.0,71.0,0,2021,1,11,0,-11.9,0
241,2021-01-11 01:00:00,316.0,76279,-8.3,0.0,71.0,0,2021,1,11,1,-11.9,0
242,2021-01-11 02:00:00,560.0,76279,-8.3,0.0,72.0,0,2021,1,11,2,-11.9,0
243,2021-01-11 03:00:00,422.0,76279,-8.5,0.0,70.0,0,2021,1,11,3,-11.9,0
244,2021-01-11 04:00:00,262.0,76279,-9.0,0.0,73.0,0,2021,1,11,4,-11.9,0
245,2021-01-11 05:00:00,220.0,76279,-8.2,0.0,69.0,0,2021,1,11,5,-11.9,0
246,2021-01-11 06:00:00,724.0,76279,-8.8,0.0,73.0,0,2021,1,11,6,-11.9,0
247,2021-01-11 07:00:00,210.0,76279,-8.8,0.0,73.0,0,2021,1,11,7,-11.9,0
248,2021-01-11 08:00:00,222.0,76279,-9.0,0.0,75.0,0,2021,1,11,8,-11.9,0
249,2021-01-11 09:00:00,458.0,76279,-7.4,0.0,70.0,0,2021,1,11,9,-11.9,0
250,2021-01-11 10:00:00,522.0,76279,-4.6,0.0,56.0,0,2021,1,11,10,-11.9,0
251,2021-01-11 11:00:00,648.0,76279,-3.5,0.0,53.0,0,2021,1,11,11,-11.9,0
252,2021-01-11 12:00:00,332.0,76279,-3.1,0.0,52.0,0,2021,1,11,12,-11.9,0
253,2021-01-11 13:00:00,658.0,76279,-2.8,0.0,49.0,0,2021,1,11,13,-11.9,0
254,2021-01-11 14:00:00,332.0,76279,-1.8,0.0,47.0,0,2021,1,11,14,-11.9,0
255,2021-01-11 15:00:00,406.0,76279,-1.9,0.0,47.0,0,2021,1,11,15,-11.9,0
256,2021-01-11 16:00:00,600.0,76279,-1.6,0.0,47.0,0,2021,1,11,16,-11.9,0
257,2021-01-11 17:00:00,288.0,76279,-1.4,0.0,49.0,0,2021,1,11,17,-11.9,0
258,2021-01-11 18:00:00,348.0,76279,-1.9,0.0,46.0,0,2021,1,11,18,-11.9,0
259,2021-01-11 19:00:00,468.0,76279,-2.1,0.0,49.0,0,2021,1,11,19,-11.9,0
260,2021-01-11 20:00:00,418.0,76279,-3.1,0.0,55.0,0,2021,1,11,20,-11.9,0
261,2021-01-11 21:00:00,370.0,76279,-4.7,0.0,65.0,0,2021,1,11,21,-11.9,0
262,2021-01-11 22:00:00,538.0,76279,-5.3,0.0,68.0,0,2021,1,11,22,-11.9,0
