,ds,y,population,temp,rain,hum,week_weekend,st,holiday,warning
134,2021-01-06 14:00:00,286.0,76279,0.2,0.0,32.0,0,-11.4,0,not
135,2021-01-06 15:00:00,488.0,76279,0.1,0.0,32.0,0,-11.4,0,not
136,2021-01-06 16:00:00,572.0,76279,-0.4,0.0,31.0,0,-11.4,0,not
137,2021-01-06 17:00:00,412.0,76279,-1.7,0.0,36.0,0,-11.4,0,not
138,2021-01-06 18:00:00,512.0,76279,-2.7,0.0,42.0,0,-11.4,0,not
139,2021-01-06 19:00:00,500.0,76279,-4.2,0.0,49.0,0,-11.4,0,not
140,2021-01-06 20:00:00,272.0,76279,-5.1,0.0,54.0,0,-11.4,0,not
141,2021-01-06 21:00:00,436.0,76279,-5.0,0.0,57.0,0,-11.4,0,not
142,2021-01-06 22:00:00,520.0,76279,-5.6,0.0,57.0,0,-11.4,0,not
143,2021-01-06 23:00:00,522.0,76279,-4.7,0.0,57.0,0,-11.4,0,not
144,2021-01-07 00:00:00,286.0,76279,-3.3,0.0,54.0,0,-17.5,0,not
145,2021-01-07 01:00:00,248.0,76279,-4.4,0.0,82.0,0,-17.5,0,not
146,2021-01-07 02:00:00,600.0,76279,-2.4,0.0,68.0,0,-17.5,0,not
147,2021-01-07 03:00:00,408.0,76279,-6.2,0.7,71.0,0,-17.5,0,not
148,2021-01-07 04:00:00,358.0,76279,-6.3,0.0,59.0,0,-17.5,0,not
149,2021-01-07 05:00:00,486.0,76279,-8.4,0.0,63.0,0,-17.5,0,not
150,2021-01-07 06:00:00,574.0,76279,-9.3,0.0,61.0,0,-17.5,0,not
151,2021-01-07 07:00:00,222.0,76279,-10.0,0.0,52.0,0,-17.5,0,not
152,2021-01-07 08:00:00,424.0,76279,-10.7,0.0,53.0,0,-17.5,0,not
153,2021-01-07 09:00:00,472.0,76279,-9.6,0.0,46.0,0,-17.5,0,not
154,2021-01-07 10:00:00,562.0,76279,-8.5,0.0,39.0,0,-17.5,0,not
155,2021-01-07 11:00:00,600.0,76279,-8.5,0.0,38.0,0,-17.5,0,not
156,2021-01-07 12:00:00,514.0,76279,-7.2,0.0,35.0,0,-17.5,0,not
157,2021-01-07 13:00:00,264.0,76279,-7.6,0.0,33.0,0,-17.5,0,not
158,2021-01-07 14:00:00,560.0,76279,-8.1,0.0,29.0,0,-17.5,0,not
159,2021-01-07 15:00:00,504.0,76279,-8.1,0.0,27.0,0,-17.5,0,not
160,2021-01-07 16:00:00,348.0,76279,-8.2,0.0,29.0,0,-17.5,0,not
161,2021-01-07 17:00:00,420.0,76279,-9.8,0.0,31.0,0,-17.5,0,not
162,2021-01-07 18:00:00,692.0,76279,-10.4,0.0,29.0,0,-17.5,0,not
163,2021-01-07 19:00:00,264.0,76279,-10.8,0.0,29.0,0,-17.5,0,not
164,2021-01-07 20:00:00,372.0,76279,-11.5,0.0,29.0,0,-17.5,0,not
165,2021-01-07 21:00:00,548.0,76279,-11.6,0.0,30.0,0,-17.5,0,not
166,2021-01-07 22:00:00,450.0,76279,-12.0,0.0,32.0,0,-17.5,0,not
167,2021-01-07 23:00:00,330.0,76279,-12.1,0.0,33.0,0,-17.5,0,not
168,2021-01-08 00:00:00,576.0,76279,-12.3,0.0,35.0,0,-19.5,0,not
169,2021-01-08 01:00:00,604.0,76279,-12.6,0.0,38.0,0,-19.5,0,not
170,2021-01-08 02:00:00,360.0,76279,-12.7,0.0,39.0,0,-19.5,0,not
171,2021-01-08 03:00:00,352.0,76279,-12.6,0.0,42.0,0,-19.5,0,not
172,2021-01-08 04:00:00,712.0,76279,-12.8,0.0,44.0,0,-19.5,0,not
173,2021-01-08 05:00:00,260.0,76279,-13.0,0.0,47.0,0,-19.5,0,not
174,2021-01-08 06:00:00,464.0,76279,-13.4,0.0,48.0,0,-19.5,0,not
175,2021-01-08 07:00:00,430.0,76279,-13.7,0.0,49.0,0,-19.5,0,not
176,2021-01-08 08:00:00,452.0,76279,-13.4,0.0,46.0,0,-19.5,0,not
177,2021-01-08 09:00:00,558.0,76279,-12.6,0.0,42.0,0,-19.5,0,not
178,2021-01-08 10:00:00,536.0,76279,-10.9,0.0,37.0,0,-19.5,0,not
179,2021-01-08 11:00:00,408.0,76279,-9.8,0.0,33.0,0,-19.5,0,not
180,2021-01-08 12:00:00,496.0,76279,-8.5,0.0,32.0,0,-19.5,0,not
181,2021-01-08 13:00:00,400.0,76279,-7.8,0.0,31.0,0,-19.5,0,not
182,2021-01-08 14:00:00,428.0,76279,-6.2,0.0,32.0,0,-19.5,0,not
183,2021-01-08 15:00:00,600.0,76279,-5.7,0.0,31.0,0,-19.5,0,not
184,2021-01-08 16:00:00,388.0,76279,-6.4,0.0,32.0,0,-19.5,0,not
185,2021-01-08 17:00:00,318.0,76279,-7.9,0.0,36.0,0,-19.5,0,not
186,2021-01-08 18:00:00,494.0,76279,-8.6,0.0,37.0,0,-19.5,0,not
187,2021-01-08 19:00:00,482.0,76279,-9.3,0.0,39.0,0,-19.5,0,not
188,2021-01-08 20:00:00,348.0,76279,-9.5,0.0,41.0,0,-19.5,0,not
189,2021-01-08 21:00:00,230.0,76279,-9.8,0.0,43.0,0,-19.5,0,not
190,2021-01-08 22:00:00,502.0,76279,-10.0,0.0,44.0,0,-19.5,0,not
191,2021-01-08 23:00:00,526.0,76279,-10.3,0.0,46.0,0,-19.5,0,not
192,2021-01-09 00:00:00,304.0,76279,-10.4,0.0,49.0,1,-17.3,0,not
193,2021-01-09 01:00:00,596.0,76279,-10.5,0.0,52.0,1,-17.3,0,not
194,2021-01-09 02:00:00,236.0,76279,-10.6,0.0,52.0,1,-17.3,0,not
195,2021-01-09 03:00:00,380.0,76279,-10.8,0.0,51.0,1,-17.3,0,not
196,2021-01-09 04:00:00,612.0,76279,-10.8,0.0,49.0,1,-17.3,0,not
197,2021-01-09 05:00:00,416.0,76279,-11.1,0.0,48.0,1,-17.3,0,not
198,2021-01-09 06:00:00,252.0,76279,-11.1,0.0,46.0,1,-17.3,0,not
199,2021-01-09 07:00:00,466.0,76279,-11.4,0.0,45.0,1,-17.3,0,not
200,2021-01-09 08:00:00,402.0,76279,-11.0,0.0,41.0,1,-17.3,0,not
201,2021-01-09 09:00:00,250.0,76279,-9.9,0.0,34.0,1,-17.3,0,not
202,2021-01-09 10:00:00,590.0,76279,-8.5,0.0,28.0,1,-17.3,0,not
203,2021-01-09 11:00:00,540.0,76279,-6.9,0.0,26.0,1,-17.3,0,not
204,2021-01-09 12:00:00,376.0,76279,-5.5,0.0,26.0,1,-17.3,0,not
205,2021-01-09 13:00:00,494.0,76279,-4.3,0.0,26.0,1,-17.3,0,not
206,2021-01-09 14:00:00,482.0,76279,-3.5,0.0,28.0,1,-17.3,0,not
207,2021-01-09 15:00:00,264.0,76279,-4.3,0.0,35.0,1,-17.3,0,not
208,2021-01-09 16:00:00,306.0,76279,-5.4,0.0,43.0,1,-17.3,0,not
209,2021-01-09 17:00:00,594.0,76279,-6.2,0.0,40.0,1,-17.3,0,not
210,2021-01-09 18:00:00,480.0,76279,-6.8,0.0,44.0,1,-17.3,0,not
211,2021-01-09 19:00:00,460.0,76279,-7.1,0.0,44.0,1,-17.3,0,not
212,2021-01-09 20:00:00,546.0,76279,-7.4,0.0,46.0,1,-17.3,0,not
213,2021-01-09 21:00:00,270.0,76279,-7.7,0.0,48.0,1,-17.3,0,not
214,2021-01-09 22:00:00,328.0,76279,-7.9,0.0,52.0,1,-17.3,0,not
215,2021-01-09 23:00:00,366.0,76279,-7.8,0.0,54.0,1,-17.3,0,not
216,2021-01-10 00:00:00,426.0,76279,-8.2,0.0,58.0,1,-14.2,0,not
217,2021-01-10 01:00:00,300.0,76279,-9.2,0.0,64.0,1,-14.2,0,not
218,2021-01-10 02:00:00,376.0,76279,-9.2,0.0,64.0,1,-14.2,0,not
219,2021-01-10 03:00:00,460.0,76279,-8.4,0.0,59.0,1,-14.2,0,not
220,2021-01-10 04:00:00,232.0,76279,-9.1,0.0,59.0,1,-14.2,0,not
221,2021-01-10 05:00:00,342.0,76279,-10.3,0.0,63.0,1,-14.2,0,not
222,2021-01-10 06:00:00,554.0,76279,-10.1,0.0,62.0,1,-14.2,0,not
223,2021-01-10 07:00:00,364.0,76279,-10.4,0.0,61.0,1,-14.2,0,not
224,2021-01-10 08:00:00,156.0,76279,-11.4,0.0,66.0,1,-14.2,0,not
225,2021-01-10 09:00:00,534.0,76279,-9.2,0.0,61.0,1,-14.2,0,not
226,2021-01-10 10:00:00,404.0,76279,-4.7,0.0,36.0,1,-14.2,0,not
227,2021-01-10 11:00:00,544.0,76279,-2.3,0.0,30.0,1,-14.2,0,not
228,2021-01-10 12:00:00,784.0,76279,-0.9,0.0,25.0,1,-14.2,0,not
229,2021-01-10 13:00:00,264.0,76279,-0.8,0.0,25.0,1,-14.2,0,not
230,2021-01-10 14:00:00,250.0,76279,-0.9,0.0,26.0,1,-14.2,0,not
231,2021-01-10 15:00:00,514.0,76279,-0.5,0.0,26.0,1,-14.2,0,not
232,2021-01-10 16:00:00,554.0,76279,0.0,0.0,30.0,1,-14.2,0,not
233,2021-01-10 17:00:00,284.0,76279,-1.3,0.0,40.0,1,-14.2,0,not
234,2021-01-10 18:00:00,540.0,76279,-2.1,0.0,45.0,1,-14.2,0,not
235,2021-01-10 19:00:00,312.0,76279,-4.2,0.0,53.0,1,-14.2,0,not
236,2021-01-10 20:00:00,534.0,76279,-5.1,0.0,56.0,1,-14.2,0,not
237,2021-01-10 21:00:00,352.0,76279,-6.1,0.0,63.0,1,-14.2,0,not
238,2021-01-10 22:00:00,414.0,76279,-6.9,0.0,65.0,1,-14.2,0,not
239,2021-01-10 23:00:00,460.0,76279,-7.7,0.0,68.0,1,-14.2,0,not
240,2021-01-11 00:00:00,216.0,76279,-7.9,0.0,71.0,0,-11.9,0,not
241,2021-01-11 01:00:00,316.0,76279,-8.3,0.0,71.0,0,-11.9,0,not
242,2021-01-11 02:00:00,560.0,76279,-8.3,0.0,72.0,0,-11.9,0,not
243,2021-01-11 03:00:00,422.0,76279,-8.5,0.0,70.0,0,-11.9,0,not
244,2021-01-11 04:00:00,262.0,76279,-9.0,0.0,73.0,0,-11.9,0,not
245,2021-01-11 05:00:00,220.0,76279,-8.2,0.0,69.0,0,-11.9,0,not
246,2021-01-11 06:00:00,724.0,76279,-8.8,0.0,73.0,0,-11.9,0,not
247,2021-01-11 07:00:00,210.0,76279,-8.8,0.0,73.0,0,-11.9,0,not
248,2021-01-11 08:00:00,222.0,76279,-9.0,0.0,75.0,0,-11.9,0,not
249,2021-01-11 09:00:00,458.0,76279,-7.4,0.0,70.0,0,-11.9,0,not
250,2021-01-11 10:00:00,522.0,76279,-4.6,0.0,56.0,0,-11.9,0,not
251,2021-01-11 11:00:00,648.0,76279,-3.5,0.0,53.0,0,-11.9,0,not
252,2021-01-11 12:00:00,332.0,76279,-3.1,0.0,52.0,0,-11.9,0,not
253,2021-01-11 13:00:00,658.0,76279,-2.8,0.0,49.0,0,-11.9,0,not
254,2021-01-11 14:00:00,332.0,76279,-1.8,0.0,47.0,0,-11.9,0,not
255,2021-01-11 15:00:00,406.0,76279,-1.9,0.0,47.0,0,-11.9,0,not
256,2021-01-11 16:00:00,600.0,76279,-1.6,0.0,47.0,0,-11.9,0,not
257,2021-01-11 17:00:00,288.0,76279,-1.4,0.0,49.0,0,-11.9,0,not
258,2021-01-11 18:00:00,348.0,76279,-1.9,0.0,46.0,0,-11.9,0,not
259,2021-01-11 19:00:00,468.0,76279,-2.1,0.0,49.0,0,-11.9,0,not
260,2021-01-11 20:00:00,418.0,76279,-3.1,0.0,55.0,0,-11.9,0,not
261,2021-01-11 21:00:00,370.0,76279,-4.7,0.0,65.0,0,-11.9,0,not
262,2021-01-11 22:00:00,538.0,76279,-5.3,0.0,68.0,0,-11.9,0,not
263,2021-01-11 23:00:00,420.0,76279,-6.3,0.0,71.0,0,-11.9,0,not
264,2021-01-12 00:00:00,324.0,76279,-7.3,0.0,78.0,0,-10.8,0,not
265,2021-01-12 01:00:00,458.0,76279,-7.4,0.0,77.0,0,-10.8,0,not
266,2021-01-12 02:00:00,574.0,76279,-7.4,0.0,78.0,0,-10.8,0,not
267,2021-01-12 03:00:00,230.0,76279,-7.6,0.0,77.0,0,-10.8,0,not
268,2021-01-12 04:00:00,450.0,76279,-8.4,0.0,81.0,0,-10.8,0,not
269,2021-01-12 05:00:00,382.0,76279,-8.1,0.0,80.0,0,-10.8,0,not
270,2021-01-12 06:00:00,320.0,76279,-8.6,0.0,82.0,0,-10.8,0,not
271,2021-01-12 07:00:00,464.0,76279,-9.3,0.0,85.0,0,-10.8,0,not
272,2021-01-12 08:00:00,368.0,76279,-9.3,0.0,85.0,0,-10.8,0,not
273,2021-01-12 09:00:00,284.0,76279,-7.1,0.0,81.0,0,-10.8,0,not
274,2021-01-12 10:00:00,528.0,76279,-4.1,0.0,69.0,0,-10.8,0,not
275,2021-01-12 11:00:00,592.0,76279,-1.5,0.0,54.0,0,-10.8,0,not
276,2021-01-12 12:00:00,434.0,76279,0.1,0.0,51.0,0,-10.8,0,not
277,2021-01-12 13:00:00,606.0,76279,1.8,0.0,46.0,0,-10.8,0,not
278,2021-01-12 14:00:00,440.0,76279,4.1,0.0,34.0,0,-10.8,0,not
279,2021-01-12 15:00:00,476.0,76279,3.7,0.0,31.0,0,-10.8,0,not
280,2021-01-12 16:00:00,556.0,76279,3.4,0.0,32.0,0,-10.8,0,not
281,2021-01-12 17:00:00,314.0,76279,2.3,0.0,37.0,0,-10.8,0,not
282,2021-01-12 18:00:00,266.0,76279,0.9,0.0,43.0,0,-10.8,0,not
283,2021-01-12 19:00:00,640.0,76279,1.5,0.0,43.0,0,-10.8,0,not
284,2021-01-12 20:00:00,326.0,76279,1.8,0.0,47.0,0,-10.8,0,not
285,2021-01-12 21:00:00,364.0,76279,1.5,0.0,55.0,0,-10.8,0,not
286,2021-01-12 22:00:00,560.0,76279,1.1,0.0,57.0,0,-10.8,0,not
287,2021-01-12 23:00:00,292.0,76279,0.0,0.0,64.0,0,-10.8,0,not
288,2021-01-13 00:00:00,370.0,76279,-0.6,0.0,69.0,0,-7.0,0,not
289,2021-01-13 01:00:00,672.0,76279,-1.3,0.0,72.0,0,-7.0,0,not
290,2021-01-13 02:00:00,400.0,76279,-2.3,0.0,76.0,0,-7.0,0,not
291,2021-01-13 03:00:00,348.0,76279,-3.2,0.0,79.0,0,-7.0,0,not
292,2021-01-13 04:00:00,532.0,76279,-3.5,0.0,79.0,0,-7.0,0,not
293,2021-01-13 05:00:00,412.0,76279,-4.0,0.0,82.0,0,-7.0,0,not
294,2021-01-13 06:00:00,480.0,76279,-4.4,0.0,82.0,0,-7.0,0,not
295,2021-01-13 07:00:00,548.0,76279,-4.6,0.0,84.0,0,-7.0,0,not
296,2021-01-13 08:00:00,306.0,76279,-4.6,0.0,84.0,0,-7.0,0,not
297,2021-01-13 09:00:00,414.0,76279,-3.4,0.0,81.0,0,-7.0,0,not
298,2021-01-13 10:00:00,564.0,76279,0.1,0.0,66.0,0,-7.0,0,not
299,2021-01-13 11:00:00,348.0,76279,3.5,0.0,55.0,0,-7.0,0,not
300,2021-01-13 12:00:00,424.0,76279,7.2,0.0,43.0,0,-7.0,0,not
301,2021-01-13 13:00:00,560.0,76279,8.4,0.0,40.0,0,-7.0,0,not
302,2021-01-13 14:00:00,442.0,76279,9.3,0.0,37.0,0,-7.0,0,not
303,2021-01-13 15:00:00,614.0,76279,9.9,0.0,36.0,0,-7.0,0,not
