,ds,week_weekday,population,temp,rain,hum,st,holiday,warning,y
30,2021-01-02 06:00:00,0,22509.0,-2.7,0.0,67.5,-9.2,0,not,32.0
31,2021-01-02 07:00:00,0,22509.0,-3.1,0.0,65.8,-9.2,0,not,24.0
32,2021-01-02 08:00:00,0,22509.0,-3.4,0.0,63.1,-9.2,0,not,161.0
33,2021-01-02 09:00:00,0,22509.0,-3.1,0.0,48.7,-9.2,0,not,211.0
34,2021-01-02 10:00:00,0,22509.0,-1.7,0.0,35.2,-9.2,0,not,183.0
35,2021-01-02 11:00:00,0,22509.0,-1.5,0.0,32.6,-9.2,0,not,354.0
36,2021-01-02 12:00:00,0,22509.0,-0.9,0.0,31.1,-9.2,0,not,318.0
37,2021-01-02 13:00:00,0,22509.0,-0.5,0.0,32.9,-9.2,0,not,542.0
38,2021-01-02 14:00:00,0,22509.0,0.0,0.0,30.2,-9.2,0,not,269.0
39,2021-01-02 15:00:00,0,22509.0,-0.1,0.0,28.7,-9.2,0,not,347.0
40,2021-01-02 16:00:00,0,22509.0,-0.4,0.0,30.4,-9.2,0,not,421.0
41,2021-01-02 17:00:00,0,22509.0,-1.3,0.0,31.9,-9.2,0,not,190.0
42,2021-01-02 18:00:00,0,22509.0,-2.3,0.0,37.2,-9.2,0,not,368.0
43,2021-01-02 19:00:00,0,22509.0,-5.7,0.0,49.6,-9.2,0,not,480.0
44,2021-01-02 20:00:00,0,22509.0,-5.2,0.0,46.9,-9.2,0,not,491.0
45,2021-01-02 21:00:00,0,22509.0,-5.1,0.0,47.8,-9.2,0,not,439.0
46,2021-01-02 22:00:00,0,22509.0,-4.1,0.0,44.2,-9.2,0,not,278.0
47,2021-01-02 23:00:00,0,22509.0,-4.2,0.0,46.4,-9.2,0,not,112.0
48,2021-01-03 00:00:00,0,22509.0,-4.2,0.0,43.2,-8.7,0,not,99.0
49,2021-01-03 01:00:00,0,22509.0,-3.8,0.0,42.6,-8.7,0,not,83.0
50,2021-01-03 02:00:00,0,22509.0,-5.6,0.0,49.6,-8.7,0,not,120.0
51,2021-01-03 03:00:00,0,22509.0,-7.8,0.0,61.0,-8.7,0,not,99.0
52,2021-01-03 04:00:00,0,22509.0,-5.5,0.0,57.7,-8.7,0,not,97.0
53,2021-01-03 05:00:00,0,22509.0,-5.8,0.0,58.5,-8.7,0,not,81.0
54,2021-01-03 06:00:00,0,22509.0,-5.7,0.0,49.8,-8.7,0,not,24.0
55,2021-01-03 07:00:00,0,22509.0,-5.5,0.0,37.3,-8.7,0,not,25.0
56,2021-01-03 08:00:00,0,22509.0,-6.0,0.0,39.9,-8.7,0,not,38.0
57,2021-01-03 09:00:00,0,22509.0,-5.1,0.0,36.2,-8.7,0,not,226.0
58,2021-01-03 10:00:00,0,22509.0,-3.6,0.0,33.5,-8.7,0,not,147.0
59,2021-01-03 11:00:00,0,22509.0,-2.0,0.0,37.3,-8.7,0,not,331.0
60,2021-01-03 12:00:00,0,22509.0,-0.7,0.0,34.0,-8.7,0,not,443.0
61,2021-01-03 13:00:00,0,22509.0,-0.4,0.0,37.0,-8.7,0,not,298.0
62,2021-01-03 14:00:00,0,22509.0,0.2,0.0,38.0,-8.7,0,not,218.0
63,2021-01-03 15:00:00,0,22509.0,0.2,0.0,39.6,-8.7,0,not,665.0
64,2021-01-03 16:00:00,0,22509.0,-0.1,0.0,42.0,-8.7,0,not,227.0
65,2021-01-03 17:00:00,0,22509.0,-1.1,0.0,46.3,-8.7,0,not,481.0
66,2021-01-03 18:00:00,0,22509.0,-1.4,0.0,48.4,-8.7,0,not,291.0
67,2021-01-03 19:00:00,0,22509.0,-2.0,0.0,51.9,-8.7,0,not,467.0
68,2021-01-03 20:00:00,0,22509.0,-3.5,0.0,56.3,-8.7,0,not,460.0
69,2021-01-03 21:00:00,0,22509.0,-4.7,0.0,61.5,-8.7,0,not,188.0
70,2021-01-03 22:00:00,0,22509.0,-6.4,0.0,68.4,-8.7,0,not,267.0
71,2021-01-03 23:00:00,0,22509.0,-7.5,0.0,73.1,-8.7,0,not,127.0
72,2021-01-04 00:00:00,1,22509.0,-7.6,0.0,74.8,-8.1,0,not,104.0
73,2021-01-04 01:00:00,1,22509.0,-8.5,0.0,77.6,-8.1,0,not,92.0
74,2021-01-04 02:00:00,1,22509.0,-9.4,0.0,80.0,-8.1,0,not,81.0
75,2021-01-04 03:00:00,1,22509.0,-10.2,0.0,82.8,-8.1,0,not,73.0
76,2021-01-04 04:00:00,1,22509.0,-10.2,0.0,83.8,-8.1,0,not,69.0
77,2021-01-04 05:00:00,1,22509.0,-10.9,0.0,85.9,-8.1,0,not,98.0
78,2021-01-04 06:00:00,1,22509.0,-11.5,0.0,87.5,-8.1,0,not,163.0
79,2021-01-04 07:00:00,1,22509.0,-11.9,0.0,87.7,-8.1,0,not,122.0
80,2021-01-04 08:00:00,1,22509.0,-12.0,0.0,88.4,-8.1,0,not,353.0
81,2021-01-04 09:00:00,1,22509.0,-10.2,0.0,87.4,-8.1,0,not,334.0
82,2021-01-04 10:00:00,1,22509.0,-5.4,0.0,73.1,-8.1,0,not,431.0
83,2021-01-04 11:00:00,1,22509.0,-1.6,0.0,58.5,-8.1,0,not,323.0
84,2021-01-04 12:00:00,1,22509.0,0.3,0.0,47.0,-8.1,0,not,269.0
85,2021-01-04 13:00:00,1,22509.0,3.3,0.0,36.8,-8.1,0,not,270.0
86,2021-01-04 14:00:00,1,22509.0,2.9,0.0,38.8,-8.1,0,not,431.0
87,2021-01-04 15:00:00,1,22509.0,3.3,0.0,38.6,-8.1,0,not,298.0
88,2021-01-04 16:00:00,1,22509.0,3.6,0.0,39.9,-8.1,0,not,287.0
89,2021-01-04 17:00:00,1,22509.0,1.2,0.0,46.5,-8.1,0,not,293.0
90,2021-01-04 18:00:00,1,22509.0,-2.5,0.0,57.6,-8.1,0,not,272.0
91,2021-01-04 19:00:00,1,22509.0,-4.5,0.0,67.1,-8.1,0,not,388.0
92,2021-01-04 20:00:00,1,22509.0,-5.6,0.0,70.5,-8.1,0,not,568.0
93,2021-01-04 21:00:00,1,22509.0,-5.6,0.0,70.0,-8.1,0,not,262.0
94,2021-01-04 22:00:00,1,22509.0,-6.2,0.0,74.0,-8.1,0,not,272.0
95,2021-01-04 23:00:00,1,22509.0,-6.5,0.0,78.4,-8.1,0,not,63.0
96,2021-01-05 00:00:00,1,22509.0,-5.1,0.0,73.3,-9.6,0,not,173.0
97,2021-01-05 01:00:00,1,22509.0,-4.8,0.0,75.5,-9.6,0,not,106.0
98,2021-01-05 02:00:00,1,22509.0,-4.7,0.0,74.5,-9.6,0,not,103.0
99,2021-01-05 03:00:00,1,22509.0,-3.8,0.0,74.4,-9.6,0,not,69.0
100,2021-01-05 04:00:00,1,22509.0,-3.0,0.0,68.5,-9.6,0,not,45.0
101,2021-01-05 05:00:00,1,22509.0,-3.3,0.0,72.7,-9.6,0,not,46.0
102,2021-01-05 06:00:00,1,22509.0,1.4,0.0,82.1,-9.6,0,not,29.0
103,2021-01-05 07:00:00,1,22509.0,0.2,0.0,66.4,-9.6,0,not,189.0
104,2021-01-05 08:00:00,1,22509.0,-0.4,0.0,57.2,-9.6,0,not,423.0
105,2021-01-05 09:00:00,1,22509.0,-0.9,0.0,61.8,-9.6,0,not,646.0
106,2021-01-05 10:00:00,1,22509.0,-0.6,0.0,59.6,-9.6,0,not,638.0
107,2021-01-05 11:00:00,1,22509.0,-0.5,0.0,59.5,-9.6,0,not,164.0
108,2021-01-05 12:00:00,1,22509.0,-0.6,0.0,56.3,-9.6,0,not,387.0
109,2021-01-05 13:00:00,1,22509.0,-0.2,0.0,43.2,-9.6,0,not,206.0
110,2021-01-05 14:00:00,1,22509.0,-0.2,0.0,36.2,-9.6,0,not,184.0
111,2021-01-05 15:00:00,1,22509.0,-0.6,0.0,28.2,-9.6,0,not,299.0
112,2021-01-05 16:00:00,1,22509.0,-1.4,0.0,30.1,-9.6,0,not,212.0
113,2021-01-05 17:00:00,1,22509.0,-2.5,0.0,33.1,-9.6,0,not,223.0
114,2021-01-05 18:00:00,1,22509.0,-3.6,0.0,35.1,-9.6,0,not,288.0
115,2021-01-05 19:00:00,1,22509.0,-4.5,0.0,40.1,-9.6,0,not,361.0
116,2021-01-05 20:00:00,1,22509.0,-5.2,0.0,45.0,-9.6,0,not,690.0
117,2021-01-05 21:00:00,1,22509.0,-5.9,0.0,46.3,-9.6,0,not,139.0
118,2021-01-05 22:00:00,1,22509.0,-6.3,0.0,52.8,-9.6,0,not,245.0
119,2021-01-05 23:00:00,1,22509.0,-7.6,0.0,55.3,-9.6,0,not,310.0
120,2021-01-06 00:00:00,1,22509.0,-10.4,0.0,65.4,-11.4,0,not,148.0
121,2021-01-06 01:00:00,1,22509.0,-12.0,0.0,71.5,-11.4,0,not,167.0
122,2021-01-06 02:00:00,1,22509.0,-12.9,0.0,76.5,-11.4,0,not,99.0
123,2021-01-06 03:00:00,1,22509.0,-13.7,0.0,78.1,-11.4,0,not,48.0
124,2021-01-06 04:00:00,1,22509.0,-14.5,0.0,80.1,-11.4,0,not,119.0
125,2021-01-06 05:00:00,1,22509.0,-14.5,0.0,82.6,-11.4,0,not,71.0
126,2021-01-06 06:00:00,1,22509.0,-14.7,0.0,84.4,-11.4,0,not,35.0
127,2021-01-06 07:00:00,1,22509.0,-15.0,0.0,83.4,-11.4,0,not,75.0
128,2021-01-06 08:00:00,1,22509.0,-15.1,0.0,84.5,-11.4,0,not,157.0
129,2021-01-06 09:00:00,1,22509.0,-13.5,0.0,81.9,-11.4,0,not,762.0
130,2021-01-06 10:00:00,1,22509.0,-7.8,0.0,66.3,-11.4,0,not,575.0
131,2021-01-06 11:00:00,1,22509.0,-4.7,0.0,47.9,-11.4,0,not,244.0
132,2021-01-06 12:00:00,1,22509.0,-2.8,0.0,45.3,-11.4,0,not,149.0
133,2021-01-06 13:00:00,1,22509.0,-2.4,0.0,41.3,-11.4,0,not,238.0
134,2021-01-06 14:00:00,1,22509.0,-2.3,0.0,41.2,-11.4,0,not,396.0
135,2021-01-06 15:00:00,1,22509.0,-1.4,0.0,39.0,-11.4,0,not,185.0
136,2021-01-06 16:00:00,1,22509.0,-1.5,0.0,40.8,-11.4,0,not,289.0
137,2021-01-06 17:00:00,1,22509.0,-2.7,0.0,44.2,-11.4,0,not,384.0
138,2021-01-06 18:00:00,1,22509.0,-5.8,0.0,51.3,-11.4,0,not,173.0
139,2021-01-06 19:00:00,1,22509.0,-7.6,0.0,58.7,-11.4,0,not,539.0
140,2021-01-06 20:00:00,1,22509.0,-8.8,0.0,63.8,-11.4,0,not,527.0
141,2021-01-06 21:00:00,1,22509.0,-8.9,0.0,66.2,-11.4,0,not,252.0
142,2021-01-06 22:00:00,1,22509.0,-9.5,0.0,71.3,-11.4,0,not,159.0
143,2021-01-06 23:00:00,1,22509.0,-7.9,0.0,67.8,-11.4,0,not,282.0
144,2021-01-07 00:00:00,1,22509.0,-7.0,0.0,77.5,-17.5,0,not,234.0
145,2021-01-07 01:00:00,1,22509.0,-4.9,0.0,92.1,-17.5,0,not,172.0
146,2021-01-07 02:00:00,1,22509.0,-4.0,0.0,62.0,-17.5,0,not,99.0
147,2021-01-07 03:00:00,1,22509.0,-7.4,0.0,56.1,-17.5,0,not,68.0
148,2021-01-07 04:00:00,1,22509.0,-8.1,0.0,54.5,-17.5,0,not,64.0
149,2021-01-07 05:00:00,1,22509.0,-10.7,0.0,73.0,-17.5,0,not,46.0
150,2021-01-07 06:00:00,1,22509.0,-11.9,0.0,69.9,-17.5,0,not,36.0
151,2021-01-07 07:00:00,1,22509.0,-12.2,0.0,57.4,-17.5,0,not,31.0
152,2021-01-07 08:00:00,1,22509.0,-12.6,0.0,54.5,-17.5,0,not,201.0
153,2021-01-07 09:00:00,1,22509.0,-12.5,0.0,49.4,-17.5,0,not,656.0
154,2021-01-07 10:00:00,1,22509.0,-11.2,0.0,45.3,-17.5,0,not,596.0
155,2021-01-07 11:00:00,1,22509.0,-10.0,0.0,37.7,-17.5,0,not,345.0
156,2021-01-07 12:00:00,1,22509.0,-9.2,0.0,35.6,-17.5,0,not,295.0
157,2021-01-07 13:00:00,1,22509.0,-9.4,0.0,33.5,-17.5,0,not,419.0
158,2021-01-07 14:00:00,1,22509.0,-9.6,0.0,34.1,-17.5,0,not,302.0
159,2021-01-07 15:00:00,1,22509.0,-9.9,0.0,33.5,-17.5,0,not,143.0
160,2021-01-07 16:00:00,1,22509.0,-10.3,0.0,34.8,-17.5,0,not,198.0
161,2021-01-07 17:00:00,1,22509.0,-11.4,0.0,34.6,-17.5,0,not,201.0
162,2021-01-07 18:00:00,1,22509.0,-12.6,0.0,39.1,-17.5,0,not,194.0
163,2021-01-07 19:00:00,1,22509.0,-13.5,0.0,41.2,-17.5,0,not,516.0
164,2021-01-07 20:00:00,1,22509.0,-13.9,0.0,33.1,-17.5,0,not,592.0
165,2021-01-07 21:00:00,1,22509.0,-13.9,0.0,29.6,-17.5,0,not,361.0
166,2021-01-07 22:00:00,1,22509.0,-14.3,0.0,32.5,-17.5,0,not,285.0
167,2021-01-07 23:00:00,1,22509.0,-16.2,0.0,47.3,-17.5,0,not,172.0
168,2021-01-08 00:00:00,1,22509.0,-14.7,0.0,38.3,-19.5,0,not,154.0
169,2021-01-08 01:00:00,1,22509.0,-14.8,0.0,42.4,-19.5,0,not,141.0
170,2021-01-08 02:00:00,1,22509.0,-15.3,0.0,46.2,-19.5,0,not,86.0
171,2021-01-08 03:00:00,1,22509.0,-17.6,0.0,61.3,-19.5,0,not,47.0
172,2021-01-08 04:00:00,1,22509.0,-14.9,0.0,49.1,-19.5,0,not,48.0
173,2021-01-08 05:00:00,1,22509.0,-15.7,0.0,50.2,-19.5,0,not,48.0
174,2021-01-08 06:00:00,1,22509.0,-16.1,0.0,52.1,-19.5,0,not,81.0
175,2021-01-08 07:00:00,1,22509.0,-16.0,0.0,48.7,-19.5,0,not,46.0
176,2021-01-08 08:00:00,1,22509.0,-16.1,0.0,45.1,-19.5,0,not,490.0
177,2021-01-08 09:00:00,1,22509.0,-15.5,0.0,42.1,-19.5,0,not,680.0
178,2021-01-08 10:00:00,1,22509.0,-14.0,0.0,38.0,-19.5,0,not,600.0
179,2021-01-08 11:00:00,1,22509.0,-12.7,0.0,38.0,-19.5,0,not,246.0
180,2021-01-08 12:00:00,1,22509.0,-11.4,0.0,39.5,-19.5,0,not,160.0
181,2021-01-08 13:00:00,1,22509.0,-10.1,0.0,40.4,-19.5,0,not,210.0
182,2021-01-08 14:00:00,1,22509.0,-9.1,0.0,40.4,-19.5,0,not,169.0
183,2021-01-08 15:00:00,1,22509.0,-9.0,0.0,39.7,-19.5,0,not,175.0
184,2021-01-08 16:00:00,1,22509.0,-9.1,0.0,39.4,-19.5,0,not,136.0
185,2021-01-08 17:00:00,1,22509.0,-10.1,0.0,40.8,-19.5,0,not,154.0
186,2021-01-08 18:00:00,1,22509.0,-11.3,0.0,42.7,-19.5,0,not,445.0
187,2021-01-08 19:00:00,1,22509.0,-11.4,0.0,42.6,-19.5,0,not,497.0
188,2021-01-08 20:00:00,1,22509.0,-11.5,0.0,45.0,-19.5,0,not,359.0
189,2021-01-08 21:00:00,1,22509.0,-11.9,0.0,45.9,-19.5,0,not,244.0
190,2021-01-08 22:00:00,1,22509.0,-12.5,0.0,48.6,-19.5,0,not,158.0
191,2021-01-08 23:00:00,1,22509.0,-13.0,0.0,51.7,-19.5,0,not,138.0
192,2021-01-09 00:00:00,0,22509.0,-14.2,0.0,55.9,-17.3,0,not,199.0
193,2021-01-09 01:00:00,0,22509.0,-16.1,0.0,65.8,-17.3,0,not,220.0
194,2021-01-09 02:00:00,0,22509.0,-16.8,0.0,70.2,-17.3,0,not,201.0
195,2021-01-09 03:00:00,0,22509.0,-17.9,0.0,73.4,-17.3,0,not,138.0
196,2021-01-09 04:00:00,0,22509.0,-18.5,0.0,75.5,-17.3,0,not,108.0
197,2021-01-09 05:00:00,0,22509.0,-18.8,0.0,77.9,-17.3,0,not,45.0
198,2021-01-09 06:00:00,0,22509.0,-19.5,0.0,79.4,-17.3,0,not,31.0
199,2021-01-09 07:00:00,0,22509.0,-20.0,0.0,80.1,-17.3,0,not,31.0
200,2021-01-09 08:00:00,0,22509.0,-19.8,0.0,79.8,-17.3,0,not,78.0
201,2021-01-09 09:00:00,0,22509.0,-18.1,0.0,77.9,-17.3,0,not,450.0
202,2021-01-09 10:00:00,0,22509.0,-10.6,0.0,34.2,-17.3,0,not,532.0
203,2021-01-09 11:00:00,0,22509.0,-8.6,0.0,32.1,-17.3,0,not,447.0
204,2021-01-09 12:00:00,0,22509.0,-7.3,0.0,34.4,-17.3,0,not,229.0
205,2021-01-09 13:00:00,0,22509.0,-6.3,0.0,36.5,-17.3,0,not,302.0
206,2021-01-09 14:00:00,0,22509.0,-6.4,0.0,40.3,-17.3,0,not,354.0
207,2021-01-09 15:00:00,0,22509.0,-7.2,0.0,43.0,-17.3,0,not,242.0
208,2021-01-09 16:00:00,0,22509.0,-8.3,0.0,46.9,-17.3,0,not,170.0
209,2021-01-09 17:00:00,0,22509.0,-8.3,0.0,46.6,-17.3,0,not,392.0
210,2021-01-09 18:00:00,0,22509.0,-9.6,0.0,49.8,-17.3,0,not,354.0
211,2021-01-09 19:00:00,0,22509.0,-8.7,0.0,46.1,-17.3,0,not,232.0
212,2021-01-09 20:00:00,0,22509.0,-9.1,0.0,49.4,-17.3,0,not,287.0
213,2021-01-09 21:00:00,0,22509.0,-9.5,0.0,52.2,-17.3,0,not,406.0
214,2021-01-09 22:00:00,0,22509.0,-10.3,0.0,58.2,-17.3,0,not,401.0
215,2021-01-09 23:00:00,0,22509.0,-10.8,0.0,63.4,-17.3,0,not,266.0
216,2021-01-10 00:00:00,0,22509.0,-10.4,0.0,63.1,-14.2,0,not,106.0
217,2021-01-10 01:00:00,0,22509.0,-9.9,0.0,62.4,-14.2,0,not,276.0
218,2021-01-10 02:00:00,0,22509.0,-10.3,0.0,58.3,-14.2,0,not,177.0
219,2021-01-10 03:00:00,0,22509.0,-10.2,0.0,55.4,-14.2,0,not,97.0
220,2021-01-10 04:00:00,0,22509.0,-13.1,0.0,67.9,-14.2,0,not,50.0
221,2021-01-10 05:00:00,0,22509.0,-14.8,0.0,75.4,-14.2,0,not,127.0
222,2021-01-10 06:00:00,0,22509.0,-16.2,0.0,79.7,-14.2,0,not,51.0
223,2021-01-10 07:00:00,0,22509.0,-16.8,0.0,81.5,-14.2,0,not,39.0
224,2021-01-10 08:00:00,0,22509.0,-17.0,0.0,82.2,-14.2,0,not,145.0
225,2021-01-10 09:00:00,0,22509.0,-15.2,0.0,80.4,-14.2,0,not,118.0
226,2021-01-10 10:00:00,0,22509.0,-9.3,0.0,61.8,-14.2,0,not,57.0
227,2021-01-10 11:00:00,0,22509.0,-4.5,0.0,47.9,-14.2,0,not,437.0
228,2021-01-10 12:00:00,0,22509.0,-2.8,0.0,32.4,-14.2,0,not,281.0
229,2021-01-10 13:00:00,0,22509.0,-2.3,0.0,32.6,-14.2,0,not,217.0
230,2021-01-10 14:00:00,0,22509.0,-1.5,0.0,31.5,-14.2,0,not,358.0
231,2021-01-10 15:00:00,0,22509.0,-2.1,0.0,32.8,-14.2,0,not,469.0
232,2021-01-10 16:00:00,0,22509.0,-1.8,0.0,43.7,-14.2,0,not,180.0
233,2021-01-10 17:00:00,0,22509.0,-2.7,0.0,44.8,-14.2,0,not,409.0
234,2021-01-10 18:00:00,0,22509.0,-4.5,0.0,50.3,-14.2,0,not,280.0
235,2021-01-10 19:00:00,0,22509.0,-7.0,0.0,60.3,-14.2,0,not,571.0
236,2021-01-10 20:00:00,0,22509.0,-9.4,0.0,67.2,-14.2,0,not,519.0
237,2021-01-10 21:00:00,0,22509.0,-10.7,0.0,72.4,-14.2,0,not,443.0
238,2021-01-10 22:00:00,0,22509.0,-11.6,0.0,76.7,-14.2,0,not,517.0
239,2021-01-10 23:00:00,0,22509.0,-12.1,0.0,79.9,-14.2,0,not,136.0
240,2021-01-11 00:00:00,1,22509.0,-13.0,0.0,81.3,-11.9,0,not,108.0
241,2021-01-11 01:00:00,1,22509.0,-13.6,0.0,83.1,-11.9,0,not,288.0
242,2021-01-11 02:00:00,1,22509.0,-13.4,0.0,83.3,-11.9,0,not,137.0
243,2021-01-11 03:00:00,1,22509.0,-13.0,0.0,84.8,-11.9,0,not,50.0
244,2021-01-11 04:00:00,1,22509.0,-13.0,0.0,84.8,-11.9,0,not,57.0
245,2021-01-11 05:00:00,1,22509.0,-12.8,0.0,85.8,-11.9,0,not,48.0
246,2021-01-11 06:00:00,1,22509.0,-12.6,0.0,85.5,-11.9,0,not,46.0
247,2021-01-11 07:00:00,1,22509.0,-12.8,0.0,85.8,-11.9,0,not,31.0
248,2021-01-11 08:00:00,1,22509.0,-13.1,0.0,86.8,-11.9,0,not,104.0
249,2021-01-11 09:00:00,1,22509.0,-11.1,0.0,85.6,-11.9,0,not,177.0
250,2021-01-11 10:00:00,1,22509.0,-7.3,0.0,74.3,-11.9,0,not,468.0
251,2021-01-11 11:00:00,1,22509.0,-5.2,0.0,66.4,-11.9,0,not,499.0
252,2021-01-11 12:00:00,1,22509.0,-4.2,0.0,58.9,-11.9,0,not,586.0
253,2021-01-11 13:00:00,1,22509.0,-3.6,0.0,57.6,-11.9,0,not,325.0
254,2021-01-11 14:00:00,1,22509.0,-3.4,0.0,56.6,-11.9,0,not,330.0
255,2021-01-11 15:00:00,1,22509.0,-2.6,0.0,54.9,-11.9,0,not,207.0
256,2021-01-11 16:00:00,1,22509.0,-2.7,0.0,54.6,-11.9,0,not,147.0
257,2021-01-11 17:00:00,1,22509.0,-2.7,0.0,56.2,-11.9,0,not,287.0
258,2021-01-11 18:00:00,1,22509.0,-4.0,0.0,60.8,-11.9,0,not,319.0
259,2021-01-11 19:00:00,1,22509.0,-4.7,0.0,66.6,-11.9,0,not,179.0
260,2021-01-11 20:00:00,1,22509.0,-7.1,0.0,74.1,-11.9,0,not,377.0
261,2021-01-11 21:00:00,1,22509.0,-9.2,0.0,79.5,-11.9,0,not,561.0
262,2021-01-11 22:00:00,1,22509.0,-10.6,0.0,83.1,-11.9,0,not,601.0
263,2021-01-11 23:00:00,1,22509.0,-11.5,0.0,85.0,-11.9,0,not,217.0
264,2021-01-12 00:00:00,1,22509.0,-12.1,0.0,86.2,-10.8,0,not,196.0
265,2021-01-12 01:00:00,1,22509.0,-11.3,0.0,87.0,-10.8,0,not,165.0
266,2021-01-12 02:00:00,1,22509.0,-10.3,0.0,85.8,-10.8,0,not,102.0
267,2021-01-12 03:00:00,1,22509.0,-11.8,0.0,86.5,-10.8,0,not,64.0
268,2021-01-12 04:00:00,1,22509.0,-11.6,0.0,88.4,-10.8,0,not,58.0
269,2021-01-12 05:00:00,1,22509.0,-11.1,0.0,87.6,-10.8,0,not,91.0
270,2021-01-12 06:00:00,1,22509.0,-11.2,0.0,88.0,-10.8,0,not,215.0
271,2021-01-12 07:00:00,1,22509.0,-11.4,0.0,88.1,-10.8,0,not,46.0
272,2021-01-12 08:00:00,1,22509.0,-11.9,0.0,88.8,-10.8,0,not,209.0
273,2021-01-12 09:00:00,1,22509.0,-10.5,0.0,88.6,-10.8,0,not,125.0
274,2021-01-12 10:00:00,1,22509.0,-6.1,0.0,76.7,-10.8,0,not,187.0
275,2021-01-12 11:00:00,1,22509.0,-1.9,0.0,60.2,-10.8,0,not,352.0
276,2021-01-12 12:00:00,1,22509.0,0.5,0.0,56.8,-10.8,0,not,480.0
277,2021-01-12 13:00:00,1,22509.0,1.6,0.0,50.7,-10.8,0,not,342.0
278,2021-01-12 14:00:00,1,22509.0,3.2,0.0,37.5,-10.8,0,not,473.0
279,2021-01-12 15:00:00,1,22509.0,3.3,0.0,37.6,-10.8,0,not,400.0
280,2021-01-12 16:00:00,1,22509.0,3.3,0.0,38.3,-10.8,0,not,350.0
281,2021-01-12 17:00:00,1,22509.0,2.5,0.0,41.5,-10.8,0,not,298.0
282,2021-01-12 18:00:00,1,22509.0,0.3,0.0,49.6,-10.8,0,not,155.0
283,2021-01-12 19:00:00,1,22509.0,-1.3,0.0,58.9,-10.8,0,not,164.0
284,2021-01-12 20:00:00,1,22509.0,-0.8,0.0,64.6,-10.8,0,not,219.0
285,2021-01-12 21:00:00,1,22509.0,-1.8,0.0,68.5,-10.8,0,not,616.0
286,2021-01-12 22:00:00,1,22509.0,-2.0,0.0,72.6,-10.8,0,not,529.0
287,2021-01-12 23:00:00,1,22509.0,-2.7,0.0,75.9,-10.8,0,not,415.0
288,2021-01-13 00:00:00,1,22509.0,-2.5,0.0,75.6,-7.0,0,not,201.0
289,2021-01-13 01:00:00,1,22509.0,-3.2,0.0,79.2,-7.0,0,not,173.0
